,artist_name,track_name,track_id,popularity
159,XXXTENTACION,infinity (888) - feat. Joey Bada$$,7J2gyNghNTzl4EsLhXp01Q,74
160,Travis Scott,ASTROTHUNDER,4MXhiYIRDMGAuvZc5IFTwC,76
161,The Alchemist,E. Coli (feat. Earl Sweatshirt),3GXSywNvYLAVUCtjMHkKDh,73
162,Future,Fine China,5274I4mUMnYczyeXkGDWZN,73
163,A Boogie Wit da Hoodie,Swervin (feat. 6ix9ine),1wJRveJZLSb1rjhnUHQiv6,74
164,Cardi B,Thru Your Phone,74cVJfmK18rhWnscIpGXjt,72
165,Ella Mai,Trip,6CTWathupIiDs7U4InHnDA,75
166,Ski Mask The Slump God,Take A Step Back,2gQYziDV5cSTRSqr6akzi5,73
167,Freddie Dredd,GTG,46M2hXnaQpueG7vSvgVtVH,76
168,Manchester Orchestra,The Gold - Phoebe Bridgers Version,7qcXUzPwoxSBFxjTbNrV0B,74
169,Lil Yachty,Yacht Club (feat. Juice WRLD),5R2rsbwCDXORX2tLfprRmM,72
170,JID,151 Rum,22WV03i2lBbwNVCE1g671p,72
171,$uicideboy$,Carrollton,2XSrt1dcuOXPgl3B4bxmBz,72
172,Travis Scott,STARGAZING,7wBJfHzpfI3032CSD7CE2m,76
173,Calum Scott,You Are The Reason,69vToJ9BMbbLlFZo7k7A7B,81
174,Los Ángeles Azules,Nunca Es Suficiente,63USmok1OioBzKuWGW9wAg,69
175,Ariana Grande,no tears left to cry,2qT1uLXPVPzGgFOx4jtEuo,79
176,Ariana Grande,God is a woman,5OCJzvD7sykQEKHH7qAC3C,79
177,XXXTENTACION,BAD!,22An65gG31JLf9n18qjdhZ,75
178,Teyana Taylor,Gonna Love Me,3nXrCAE44KlevAkQB2XWcN,73
179,Dominic Fike,3 Nights,1tNJrcVe6gwLEiZCtprs1u,77
180,Lady Gaga,Always Remember Us This Way,2rbDhOo9Fh61Bbu23T2qCk,84
181,Travis Scott,YOSEMITE,7lAK3oHbfEnvUQWosrMMpR,76
182,Khalid,Love Lies (with Normani),45Egmo7icyopuzJN0oMEdk,75
183,"Tyler, The Creator",Potato Salad,1jzIJcHCXneHw7ojC6LXiF,73
184,Bad Bunny,Si Estuviésemos Juntos,35wvL50xvKpCHEJPxLOLPI,82
185,Cory Asbury,Reckless Love,0rH0mprtecH3grD9HFM5AD,72
186,Kenny Chesney,Get Along,6n6OQfBpCgzF9oEg8zhBN7,70
187,Bad Bunny,La Romana,1khmgu0pveJbkbpbkyvcQv,75
188,Trippie Redd,Dark Knight Dummo,4apiNNK0jp9uqn3JDG9My1,72
189,Luke Combs,Must've Never Met You,6ojicjDYUUoeE1tdSvfFo4,71
190,Lil Baby,"Never Recover (Lil Baby & Gunna, Drake)",6wWaVoUOzLQJHd3bWAUpdZ,72
191,Lil Mosey,Noticed,7zLYKWcXnYeHHWidalz7rj,75
192,Mt. Joy,Dirty Love,2bsC6KLZ6a9v6zdoDkziBL,71
193,Metro Boomin,Don't Come Out The House (with 21 Savage),2Grb4G6t9VIqo6moKUloom,72
194,Kodak Black,Calling My Spirit,2MShy1GSSgbmGUxADNIao5,71
