,track_id,track_name,artist_name,album_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
513,38xXr3MkiKNzNDv4JDJagF,$20,boygenius,the record,72,200093,False,0.555,0.606,7,-6.9,1,0.0321,0.0077,0.0305,0.178,0.41,117.969,3
514,5b4n4Lp2ZAPDGO9nQM5IHR,For What It’s Worth (feat. Alana Springsteen),BRELAND,For What It’s Worth (feat. Alana Springsteen),69,176617,False,0.625,0.727,1,-4.532,1,0.0378,0.0985,0.0,0.101,0.654,146.154,4
515,4jMbQ5H6KaSRPRCBuNnW16,Be The One (with Khalid),Bree Runway,Be The One (with Khalid),75,200814,False,0.724,0.617,7,-5.999,1,0.0313,0.193,0.0,0.178,0.114,111.956,4
516,7cFLFmj3fLV5wxhcFfol7u,if looks could kill,Destroy Lonely,If Looks Could Kill,70,194213,True,0.634,0.528,8,-7.595,1,0.129,0.0333,0.0,0.202,0.283,130.794,4
517,2nK3bNHjO0IAMarcoN27UK,No Enhancers,Jack Harlow,Jackman.,72,99960,False,0.671,0.653,11,-6.464,0,0.153,0.489,0.0,0.174,0.396,156.021,4
518,1y3NV3N99VoSP4crdkbog7,Drop Stop Roll,Rainbow Kitten Surprise,Drop Stop Roll,70,170788,False,0.732,0.666,8,-8.791,1,0.0315,0.0357,0.0,0.101,0.37,105.043,4
519,0wzCQjc8JRa39ej1TFkAFt,Endlessly,Kali Uchis,Red Moon In Venus,73,155406,False,0.635,0.748,2,-5.458,0,0.0597,0.0362,3.33e-06,0.0755,0.629,82.016,4
520,5udkv8BEG1sAN5ZtR6CAzv,The Dumb Song,AJR,The Dumb Song,72,225946,True,0.513,0.689,0,-5.369,1,0.0462,0.118,0.0,0.147,0.716,170.832,4
521,22W6wI4hDTjMAYKKBQW9dU,D-Day,Agust D,D-DAY,80,211373,True,0.59,0.878,4,-3.199,0,0.266,0.294,0.0,0.0959,0.699,139.934,5
522,4EXWkO8apwRtwoi6k6nWHe,SPIDER WEB,Melanie Martinez,PORTALS,73,183974,False,0.661,0.235,7,-10.68,0,0.0639,0.603,0.000928,0.562,0.634,109.867,4
523,2N5cFPLy0TIasTWkfT1hri,Chills (LA Hills),Tiësto,DRIVE,78,183652,False,0.796,0.761,0,-6.299,1,0.0554,0.0213,0.000194,0.124,0.447,115.016,4
524,09UTOp33EhOSWzvGL0YOws,No Strings,Ed Sheeran,- (Deluxe),73,174087,False,0.644,0.345,0,-6.433,1,0.0268,0.829,0.0,0.12,0.252,80.957,4
525,6hgTMdO3CyXlNQJ1K58ruH,Levels,BigXthaPlug,AMAR,69,157377,True,0.801,0.555,5,-7.47,1,0.241,0.114,0.0,0.561,0.49,121.935,4
526,5gy5oMthJa807ihJik4U3O,Hannah Ford Road,Luke Combs,Gettin' Old,72,218173,False,0.52,0.962,1,-5.506,0,0.0827,0.000369,0.0,0.33,0.488,131.068,4
527,6DdPacpAdYkxV8MCzsjaXu,Growin' Up and Gettin' Old,Luke Combs,Growin' Up and Gettin' Old,72,233666,False,0.511,0.6,2,-5.699,1,0.0268,0.16,5.25e-06,0.114,0.269,146.051,4
528,1fpj1CJPxY3YvN3AMAEYvt,Set Me Free Pt.2,Jimin,FACE,83,200929,True,0.585,0.815,0,-4.165,0,0.0565,0.115,0.0,0.124,0.564,132.09,4
529,6XrPzwKeGzEvtan3acn7VH,HUH?! (feat. j-hope),Agust D,D-DAY,81,183290,True,0.763,0.806,9,-2.785,1,0.302,0.207,0.0,0.229,0.522,139.911,4
530,2xVcCDRgG3TrH69TatsUxp,Cupido,TINI,Cupido,87,174369,False,0.913,0.584,9,-5.263,1,0.223,0.521,5.36e-05,0.307,0.627,119.873,4
531,0iqr64c8WWYb549HKs8sqD,Drive You Out Of My Mind,Kassi Ashton,Drive You Out Of My Mind,69,212360,False,0.661,0.933,1,-2.503,0,0.0656,0.0185,3.28e-06,0.157,0.741,123.035,5
532,6iqJbVamMn0NbwuZksgd87,Pariente,Fuerza Regida,Pariente,71,184603,True,0.616,0.764,10,-4.801,0,0.0925,0.245,0.0,0.115,0.506,101.293,3
533,6LuooOeUu4NOjkVOiT5CdS,Still,Luke Combs,Gettin' Old,71,203440,False,0.625,0.832,6,-5.127,1,0.0563,0.187,0.0,0.0913,0.341,106.971,4
534,6Z6mjsCgIcFb3JBOxHBcn9,PLUTO,Melanie Martinez,PORTALS (Deluxe),73,181496,False,0.548,0.601,7,-7.185,0,0.0616,0.36,0.000162,0.0731,0.576,171.92,3
535,1JjiTsqfpfMoukoIW9cM5O,XTAYALIVE,jnhygs,XTAYALIVE,74,126897,False,0.247,0.869,6,-4.781,0,0.0958,0.000184,1.41e-06,0.404,0.25,202.792,5
536,0r9ZhD7QEbIAcvfhDkIsdV,Bëttr 0ff,Yeat,AftërLyfe,72,230453,True,0.731,0.532,9,-9.815,0,0.0742,0.00232,0.0,0.18,0.37,124.948,4
537,76FeKAU0A4dpFGrVSg2TX2,I Wrote The Book,Morgan Wallen,3 Songs At A Time Sampler,69,181766,False,0.682,0.805,2,-3.739,1,0.0403,0.0888,5.34e-05,0.0776,0.826,143.978,4
538,1NG1ZbHFYLL27Upnnkz9af,De Lunes A Viernes,Angel Ureta,De Lunes A Viernes,73,153443,False,0.705,0.875,6,-3.051,0,0.0834,0.424,0.0,0.0442,0.966,152.085,3
539,2g5q0UpOOFMNOcHGaMG4b0,Gangsta Boo (with Lil Tjay),Ice Spice,Like..?,74,159370,True,0.873,0.578,1,-7.397,1,0.272,0.139,0.0,0.0953,0.765,147.074,4
540,5YbGrhQCpOT4aOTlFgACke,SunKissing,Hailee Steinfeld,SunKissing,74,177253,False,0.578,0.867,4,-4.317,1,0.0569,0.011,0.0,0.34,0.548,143.912,4
541,4wteGC0HtLeZWjDcczc4Pw,RATATA,Skrillex,Quest For Fire,75,126774,False,0.889,0.6,9,-10.603,1,0.144,0.0145,0.0,0.08,0.501,123.978,4
